DATAFLOW,LAST UPDATE,freq,unit,sex,frequenc,age,wstatus,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Germany,2023,56.6,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Germany,2025,55.8,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Denmark,2021,40.8,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Denmark,2023,37.2,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Denmark,2025,31.9,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Estonia,2021,50.1,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Estonia,2023,53.0,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Estonia,2025,50.1,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Greece,2021,88.7,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Greece,2023,90.7,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Greece,2025,91.8,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Spain,2021,69.1,bd,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Spain,2023,70.0,d,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Spain,2025,68.8,d,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Finland,2021,37.6,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Finland,2023,36.4,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Finland,2025,34.5,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,France,2021,43.4,bd,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,France,2023,44.2,d,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,France,2025,41.7,d,
