DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Denmark,2021,79.92,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Denmark,2023,75.95,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Denmark,2025,92.68,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2021,58.39,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2023,60.93,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2025,74.55,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Estonia,2021,54.79,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Estonia,2023,56.88,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Estonia,2025,72.77,d,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Greece,2021,38.21,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Greece,2023,43.82,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Greece,2025,56.48,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Spain,2021,60.44,,
