DATAFLOW,LAST UPDATE,freq,na_item,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",European Union - 27 countries (from 2020),2023,105.287,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",European Union - 27 countries (from 2020),2025,107.014,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Finland,2021,105.298,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Finland,2023,101.971,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Finland,2025,105.273,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",France,2021,101.306,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",France,2023,100.123,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",France,2025,101.654,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Croatia,2021,113.289,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Croatia,2023,121.755,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Croatia,2025,123.740,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Hungary,2021,115.307,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Hungary,2023,117.911,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Hungary,2025,118.558,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Ireland,2021,136.762,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Ireland,2023,129.263,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Ireland,2025,143.548,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Italy,2021,102.361,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Italy,2023,100.704,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Italy,2025,98.758,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Lithuania,2021,125.740,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Lithuania,2023,120.342,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Lithuania,2025,124.169,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Luxembourg,2021,101.615,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Luxembourg,2023,96.104,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Luxembourg,2025,95.457,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Latvia,2021,117.657,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Latvia,2023,116.079,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Latvia,2025,122.048,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Malta,2021,108.792,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Malta,2023,109.550,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Malta,2025,111.029,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Netherlands,2021,101.635,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Netherlands,2023,100.780,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Netherlands,2025,102.953,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Poland,2021,116.365,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Poland,2023,122.715,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Poland,2025,134.332,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Portugal,2021,103.167,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Portugal,2023,102.209,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Portugal,2025,103.552,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Romania,2021,121.398,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Romania,2023,132.611,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Romania,2025,133.769,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Sweden,2021,106.693,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Sweden,2023,103.466,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Sweden,2025,108.755,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Slovenia,2021,115.696,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Slovenia,2023,116.879,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Slovenia,2025,119.224,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Slovakia,2021,121.119,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Slovakia,2023,118.631,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Slovakia,2025,122.677,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Austria,2021,0.0,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Austria,2023,-1.4,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Austria,2025,0.3,,
