DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using Customer Relationship Management (CRM) software (as of 2023),Percentage of enterprises where persons employed have access to the internet,Portugal,2023,10.42,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using Customer Relationship Management (CRM) software (as of 2023),Percentage of enterprises where persons employed have access to the internet,Sweden,2025,3.68,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using Customer Relationship Management to analyse information about clients for marketing purposes,Percentage of enterprises,Spain,2021,6.08,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using Customer Relationship Management to analyse information about clients for marketing purposes,Percentage of enterprises,Portugal,2021,5.67,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using Customer Relationship Management to analyse information about clients for marketing purposes,Percentage of enterprises where persons employed have access to the internet,Spain,2021,7.46,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using Customer Relationship Management to analyse information about clients for marketing purposes,Percentage of enterprises where persons employed have access to the internet,Portugal,2021,6.72,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using Customer Relationship Management to capture, store and make available clients information to other business functions",Percentage of enterprises,Spain,2021,8.73,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using Customer Relationship Management to capture, store and make available clients information to other business functions",Percentage of enterprises,Portugal,2021,12.47,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using Customer Relationship Management to capture, store and make available clients information to other business functions",Percentage of enterprises where persons employed have access to the internet,Spain,2021,10.72,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using Customer Relationship Management to capture, store and make available clients information to other business functions",Percentage of enterprises where persons employed have access to the internet,Portugal,2021,14.79,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises with high digital intensity index, which use any business software (any of ERP, CRM, BI)",Percentage of enterprises,Spain,2023,3.47,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises with high digital intensity index, which use any business software (any of ERP, CRM, BI)",Percentage of enterprises,Spain,2025,4.23,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises with high digital intensity index, which use any business software (any of ERP, CRM, BI)",Percentage of enterprises,Portugal,2023,5.54,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises with high digital intensity index, which use any business software (any of ERP, CRM, BI)",Percentage of enterprises,Sweden,2025,2.17,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises with low digital intensity index, which use any business software (any of ERP, CRM, BI)",Percentage of enterprises,Spain,2023,5.58,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises with low digital intensity index, which use any business software (any of ERP, CRM, BI)",Percentage of enterprises,Spain,2025,6.68,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises with low digital intensity index, which use any business software (any of ERP, CRM, BI)",Percentage of enterprises,Portugal,2023,12.97,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises with low digital intensity index, which use any business software (any of ERP, CRM, BI)",Percentage of enterprises,Sweden,2025,2.76,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises with very high digital intensity index, which use any business software (any of ERP, CRM, BI)",Percentage of enterprises,Spain,2023,0.66,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises with very high digital intensity index, which use any business software (any of ERP, CRM, BI)",Percentage of enterprises,Spain,2025,1.02,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises with very high digital intensity index, which use any business software (any of ERP, CRM, BI)",Percentage of enterprises,Portugal,2023,0.99,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises with very high digital intensity index, which use any business software (any of ERP, CRM, BI)",Percentage of enterprises,Sweden,2025,0.28,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises with very low digital intensity index, which use any business software (any of ERP, CRM, BI)",Percentage of enterprises,Spain,2023,4.21,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises with very low digital intensity index, which use any business software (any of ERP, CRM, BI)",Percentage of enterprises,Spain,2025,2.87,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises with very low digital intensity index, which use any business software (any of ERP, CRM, BI)",Percentage of enterprises,Portugal,2023,6.93,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises with very low digital intensity index, which use any business software (any of ERP, CRM, BI)",Percentage of enterprises,Sweden,2025,0.56,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises who have ERP software package to share information between different functional areas,Percentage of enterprises,Germany,2023,16.91,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises who have ERP software package to share information between different functional areas,Percentage of enterprises,Spain,2021,9.30,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises who have ERP software package to share information between different functional areas,Percentage of enterprises,Spain,2023,10.82,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises who have ERP software package to share information between different functional areas,Percentage of enterprises,Spain,2025,11.08,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises who have ERP software package to share information between different functional areas,Percentage of enterprises,Portugal,2021,25.59,,
